python,英 [paθn]美 [paθɑn],n. 巨蛇，大蟒;
ohio,英 [uhaiu]美 [ohao],n. 俄亥俄州（美国州名）;
grid,英 [grd]美 [ɡrd],n. 格子，非实质的; 地图上的坐标方格; （输电线路、天然气管道等的）系统网络;
ment,英 ['mnt]美 ['mnt],abbr. mention 提到; mental 精神的; mentalis 精神的; mentio
geom,英 [d'm]美 [d'om],abbr. geometry 几何学; geometric 几何学的; geometer 几何学家;
older,英 ['ldr]美 ['oldr],adj. 年长的; 老的( old的比较级 ); 古老的; 以前的; （用于指称被替代的东西） 原来
linguistic,英 [lgwstk]美 [lɡwstk],adj. 语言的; 语言学的;
schedule,英 [edju:l]美 [skedul],n. 时刻表，进度表; 清单，明细表; 预定计划; 目录; vt. 排定，安排; 将…列表; 为…作
ham,英 [hm]美 [hm],n. 火腿; （旧时的）小镇，村庄; 大腿后部; 拙劣演员（尤指表演过火者）; vi. 表情夸张，表
printer,英 [prnt(r)]美 [prnt],n. 打印机; 印刷机; 印刷商，印刷厂; 印刷业从业人员，印花工;
forward,英 [f:wd]美 [frwrd],adv. 向前; 前进地; 至将来; 提前地; adj. 向前方的; 迅速的; （社会、政治）进步的
distributed,英 [ds'trbju:td]美 [d'strbjutd],adj. 分布式的; v. 散发; 分配( distribute的过去式和过去分词); 分销; [常
formal,英 [f:ml]美 [frml],adj. （学校教育或培训）正规的; 方式上的; 礼仪上的; n. <美>须穿礼服的社交集会; <口
independent,英 [ndpendnt]美 [ndpndnt],adj. 自主的; 不相关连的; 无党派的; 不相干的人所做的（或提供的）; n. 独立自主的人; 
among,英 [m]美 [m],prep. （表示牵涉）经过; （表示位置）处在…中; （表示范围）在…之内; （表示所属）为…所特
solve,英 [slv]美 [sɑlv],vt. 解决; 解答; 解释; 清偿（债务）;
statistics,英 [st'tstks]美 [sttstks],n. 统计数字; 统计，统计学，统计法，统计资料; “statistic”的复数;
calculate,英 [klkjulet]美 [klkjlet],vt.& vi. 计算; 估计; 打算，计划; 旨在; vt. 预测，推测;
verb,英 [v:b]美 [vrb],n. 动词; 动词结构;
website,英 [websat]美 ['websat],n. [通信]网站;
phrase,英 [frez]美 [frez],n. 成语; 乐句; 说法; <语>短语; vt. 叙述，措词; vt.& vi. 划分乐句，分乐节
semantics,英 [smntks]美 [smntks],n. 语义学; 词义学;
tail,英 [tel]美 [tel],n. 尾; 尾部; 燕尾服; 尾随者; vt. 跟踪; 装上尾巴; vi. 队伍单行行进时拉长或产生
initialize,英 [nlaz]美 [nlaz],vt. 初始化;
exact,英 [gzkt]美 [ɡzkt],adj. 准确的; 严密的; 精密的，精确的; vt. 要求; 苛求; 迫使; 强求;
partition,英 [pɑ:tn]美 [pɑrtn],n. 分割; 隔墙; 划分，分开; 隔离物; vt. 分割; 分开，隔开; 区分;
preview,英 [pri:vju:]美 [privju],n. 试映，预演; 预告片; 象征，预示; vt. 预映; 预先观看; 概述; 扼要介绍;
arts,英 [arts]美 [arts],n. 文科; 艺术( art的名词复数 ); 艺术作品; （需要技术、工艺的）行业; 文艺（包括绘画
convenient,英 [knvi:nint]美 [knvinjnt],adj. 方便的; [废语]适当的; [口语]近便的; 实用的;
convenience,英 [knvi:nins]美 [knvinjns],n. 方便，便利; 便利设施; 个人的舒适或利益; （公共）厕所;
recognize,英 [rekgnaz]美 [rkɡnaz],vt. 承认; 识别; 认出; vi. 承认，确认; [法律]具结，立保证书;
publisher,英 [pbl(r)]美 [pbl],n. 出版者，出版商，出版社; 公布者，发表者; 〈美〉办报者;
repair,英 [rpe(r)]美 [rper],vt. 修理; 纠正; 恢复; 弥补; n. 修理; 修理工作; 维修状态; 经修理的东西;
upgrade,英 [pgred]美 [pɡred],n. 向上的斜坡; vt. 提升; 使（机器、计算机系统等）升级; 提高（设施、服务等的）档次; 提
score,"英 [sk:(r)]美 [skr, skor]",n. 得分; 分数; 总谱; 20个; v. 评分; 得分; 记分; 获得胜利;
broadcasting,英 [br:dkɑ:st]美 [brdkst],n. （电台、电视台的）广播，播放; （电台、电视台）广播员的职业; v. 广播，播放( broad
flow,英 [fl]美 [flo],vi. 流; 垂; 流出; （谈话、文体等）流畅; n. 流动; 滔滔不绝; 涨潮; 连贯; vt.
detailed,"英 [di:teld]美 [dteld,diteld]",adj. 详尽的; 详细的，明细的; 精细的; 复杂的; v. 详细说明(detail的过去分词);
exp,英 ['eksp]美 ['eksp],abbr. export 输出; express 表示; 由LIB工具从DEF文件生成的输出文件，其
pure,英 [pj(r)]美 [pjr],adj. 纯的; 单纯的; 纯真的; 干净的; prep. 清晰的，纯正的;
quantity,英 [kwntti]美 [kwɑntti],n. 量，数量; 定量，大批; 数目; [语音学、韵律学]音量（指元音或音节的长短）;
managing,英 ['mnd]美 ['mnd],adj. 管理的，节约的; v. 经营; 使用( manage的现在分词 ); 完成（困难的事）; 
relation,英 [rlen]美 [rlen],n. 关系; 联系; 关联; 亲属;
blueprint,英 [blu:prnt]美 [bluprnt],n. 蓝图，设计图; 计划大纲; 原本; vt. 为…制蓝图; 为…制订计划;
green,英 [gri:n]美 [ɡrin],adj. 绿色的; 未熟的，青春的; 未成熟的; 主张保护环境的; n. 绿色蔬菜; 绿色的衣服; 
red,英 [red]美 [rd],adj. 红色的; （脸）涨红的; 烧红的; 红头发的; n. 红色; 红衣服; 红颜料; 红葡萄酒
center,英 ['sent]美 [snt],n. 中心; 中枢; （球队的） 中锋; 中心区; adj. 中央的，位于正中的; （在）中心的; 
collect,英 [klekt]美 [klkt],vt. 收集; 收藏; 接走; 聚积; vi. 募捐; 募集; adj. 由受话人付费的;
technically,英 [teknkli]美 [tknkl],adv. 技术上; 学术上; 专业上; 严格说来;
saving,英 [sev]美 [sev],n. 节约; 挽救; 节俭; 储蓄金; v. 拯救( save的现在分词); 收集; 保留; 避免;
fantasy,"英 [fntsi]美 [fntsi, -zi]",n. 幻想; 空想的产物; 幻想作品; 非正式的货币; vt.& vi. 幻想; 想像; 奏幻想曲;
coach,英 [kt]美 [kot],n. 教练; （铁路）旅客车厢; 长途客运汽车; 四轮大马车; vt.& vi. 辅导; 训练; v
audio,英 [:di]美 [dio],adj. 音频的; 听觉的，声音的; n. 音响; 声音回路; 可听到的声音; 声音信号;
bucket,英 [bkt]美 [bkt],n. 水桶; 一桶（的量）; 大量; 〈俚〉交通工具; v. 用桶装，用桶运; 倾盆而下; 〈美俚〉
clone,英 [kln]美 [klon],n. （动植物的）克隆; 无性繁殖系; 复制人（或动植物）; （不动脑筋）机械行事的人，机器人; v
conditional,英 [kndnl]美 [kndnl],adj. 视…而定的; [语]条件的，假定的; [心]有条件的，由一定条件诱发的; n. 条件（从句
lexicon,英 [lekskn]美 [lkskɑn],n. 词典; 专门词汇;
numerical,英 [nju:merkl]美 [numerkl],adj. 数字的，用数字表示的，数值的;
naive,英 [nai:v]美 [nɑiv],adj. 天真的; 幼稚的; 单纯的;
reversed,英 [r'v:st]美 [r'vst],v. 推翻; （使）反转( reverse的过去式和过去分词 ); （使）颠倒; （使）翻转; ad
resolve,英 [rzlv]美 [rzɑlv],vt.& vi. 决心; 决定; vt. 使消释; 使分解，使解体; （指委员会或集会）表决; 消退
mathematical,英 [mθ'mtkl]美 [mθmtkl],adj. 数学的; 精确的; 绝对的; 可能性极小的;
attempt,英 [tempt]美 [tmpt],vt. 尝试; 试图; n. 进攻; 尝试，冲击;
matrices,"英 [metrsi:z]美 [metrsiz, mtr-]",n. 母体，子宫(matrix的复数); <数>矩阵( matrix的名词复数 ); 铸模; （内含
lowest,英 ['lst]美 ['lost],adj. 最低的，最底下的，最小的;
docker,英 [dk(r)]美 [dɑk(r)],n. 码头工人;
motor,英 [mt(r)]美 [mot(r)],n. 汽车; 马达，发动机，[火箭]助推器; 原动者，原动力; [解]运动肌，运动神经; vi. 开
visualization,英 [vla'zen]美 [vlzen],n. 形象（化），形象化，想像; 目测;
beyond,英 [bjnd]美 [bjɑnd],prep. 超过; 越过; 那一边; 在…较远的一边; adv. 在远处; 在更远处; n. 远处;
endpoint,英 ['endpt]美 ['endpnt],n. 端点，终点;
vehicle,英 [vi:kl]美 [vihkl],n. 车辆; 交通工具; 传播媒介，媒介物; [药]赋形剂;
success,英 [skses]美 [skss],n. 成功，成就; 好成绩，好结果; 成功的人（或物）;
toolbox,英 [tu:lbks]美 [tulbɑks],n. 工具箱;
mark,英 [mɑ:k]美 [mɑrk],n. 记号; 斑点; 成绩; 标准; vt. 作记号; 表示; 给…打分; 在…留下痕迹; vi. 
connected,英 [k'nektd]美 [knktd],adj. 连接的，有关系的，有联系的; 连贯的; 有血统[婚姻]关系的; v. 连接( connec
infinity,英 [nfnti]美 [nfnti],n. <数>无穷大; 无限的时间或空间;
beacon,英 [bi:kn]美 [bikn],n. 烽火; 灯塔，信号浮标; 指路明灯; 警标，界标; vt. 照亮，指引; 为…设置信标; 用灯
resize,"英 [ri:saz]美 [,ri'saz]",v. 调整大小;
intent,英 [ntent]美 [ntnt],n. 意图，目的; 意思，含义; adj. 专心的，专注的; 意愿坚决的; 急切的; 一心想…的;
sun,英 [sn]美 [sn],n. 太阳，阳光; 恒星; 中心人物; v. 晒太阳;
fun,英 [fn]美 [fn],n. 乐趣; 娱乐活动; 嬉戏，嬉闹; 有趣的事; adj. 开心的; 使人愉快的; vi. 嬉闹;
tab,英 [tb]美 [tb],n. 帐单; （易拉罐的）拉环; 标签，制表; vt. <口>监视; 给…贴标签; 用垂饰安装; a
continued,英 [kntnju:d]美 [kntnjud],adj. 继续的，延续的; v. 持续; 继续，连续( continue的过去式和过去分词 ); 逗
embedded,英 [m'bedd]美 [m'bedd],adj. 植入的，深入的，内含的; v. 把…嵌入，埋入( embed的过去式和过去分词 );
piece,英 [pi:s]美 [pis],n. 块，片，段; 部分，部件; 文章，音乐作品; vt. 修补; 连接，接上;
ax,英 [ks]美 [ks],n. 斧头; v. 削减; 解雇;
thanks,英 [θks]美 [θks],n. 感谢，谢谢; 感谢，谢谢，道谢的话( thank的名词复数 ); int. 感激（的），致谢（
cell,英 [sel]美 [sl],n. 电池; <生>细胞; 小牢房; <诗>墓穴; vi. 住在牢房或小室中; vt. 囚禁;
academia,英 [kdi:mi]美 [kdimi],n. 学术界，学术环境;
improve,英 [mpru:v]美 [mpruv],vt. 提高（土地、地产）的价值; 利用（机会）; 改善，改良; vi. 变得更好; 改进，改善;
mixer,英 [mks(r)]美 [mks],n. 混合器; 搅拌器; 调音师;
shift,英 [ft]美 [ft],vt.& vi. 改变; 换挡; 去掉; 摆脱掉; vt. 换…的衣服，更（衣）; 卖，出售; [计
moment,英 [mmnt]美 [momnt],n. 时刻; 瞬间，片刻; 重要，紧要; [物]力矩;
pseudo,英 ['sju:d]美 ['sudo],adj. 假的，虚伪的; n. [口]假冒的人，伪君子;
readable,英 [ri:dbl]美 [ridbl],adj. 易读的; 易懂的;
concept,英 [knsept]美 [kɑnsept],n. 观念，概念; 观点; 思想，设想，想法; 总的印象;
diff,英 ['df]美 ['df],abbr. differential 微分（的）; difference 不同; differ 不同
pixel,"英 [pksl]美 [pksl, -sl]",n. （显示器或电视机图像的）像素;
hug,英 [hg]美 [hɡ],vt.& vi. 热烈地拥抱，抱住，紧抱; vt. 紧靠…走; 抱有，持有; n. 紧抱，热烈拥抱;
compared,英 [kmped]美 [kmprd],adj. 比较的，对照的;
feel,英 [fi:l]美 [fil],vt. 感觉; 认为; 触摸; 试探; vt.& vi. 感觉，觉得; 认为，以为; 触摸; n. 
guess,英 [ges]美 [ɡs],vt. 推测; 猜测，臆测; 猜中; 假定，认为; vi. 猜，猜测; 猜对; n. 猜测; 推断;
law,英 [l:]美 [l],n. 法; 规律; 法学; 法制; vt.& vi. [口语、方言]诉诸法律，对…起诉，控告; vt
cut,英 [kt]美 [kt],vt.& vi. 将（某物）切开（或分割）; vt. 削减; 切成; 剪切; 删剪; vi. 电影;
macro,英 [mkr]美 [mkro],n. [自]宏指令; 巨（计算机术语）; adj. 巨大的; 大量使用的; 特别突出的; 极厚的;
headline,英 [hedlan]美 [hedlan],n. 头条新闻; 大字标题; 新闻提要; vt. 给…加标题; 担任主角;
week,英 [wi:k]美 [wik],n. 一星期，周; 工作周（一个星期中的工作时间）;
permutation,英 [p:mjuten]美 [prmjuten],n. （一组事物可能的一种）序列，排列，排列中的任一组数字或文字;
pocket,英 [pkt]美 [pɑkt],n. 口袋，钱袋; 金钱，财富; 容器; 凹处; vt. 隐藏; 放进口袋; 私吞，盗用; 忍受; 
leave,英 [li:v]美 [liv],vt. 离开; 遗弃; 忘了带; 交托; vt.& vi. 离去; 出发; 舍弃; n. 准假; 假
composition,英 [kmpzn]美 [kɑmpzn],n. 作文，作曲; 创作; 构图，布置; 妥协，和解;
nice,英 [nas]美 [nas],adj. 美好的，愉快的; 正派的; 友好的，亲切的; 细致的;
signed,英 [sand]美 [sand],adj. 有符号的，有正负之分的;
monty,英 [mnti]美 [mɑnti],n. <澳新口>必定的事物（尤指赛马时必赢的马）;
pin,英 [pn]美 [pn],n. 钉; 别针，扣针，饰针; 大头针; 没价值的东西; vt. 压住; （用钉等）钉住，钉住，别住
conjugate,英 [kndget]美 [kɑndget],vt. 使结合; 使配合; vi. 结合; 配合; adj. 共轭的; 结合的; 成对的; 配合的;
expand,英 [kspnd]美 [kspnd],vt. 扩张; 使…变大; 详述; vi. 扩展; 展开; 发展; 张开;
relevant,英 [relvnt]美 [rlvnt],adj. 有关的，中肯的; 相关联的; 确切的; 有重大意义[作用]的，实质性的;
slug,英 [slg]美 [slɡ],n. 鼻涕虫; 子弹，金属块; 动作缓慢的人; [物]斯勒格，斯（质量单位）; vi. 动作迟缓; 
mar,英 [mɑ:(r)]美 [mɑr],vt. 糟蹋; 毁坏，损坏; 弄糟; 玷污; n. 污点; 瑕疵; 障碍; 损伤，毁损;
gnu,"英 [nu:]美 [nu, nju]",n. 角马（南非产的像牛的大羚羊）;
cumulative,英 [kju:mjltv]美 [kjumjletv],adj. 累积的; 渐增的; 追加的; （判刑等）加重的;
suitable,英 [su:tbl]美 [sutbl],adj. 合适的，适当的，适宜的，恰当的;
win,英 [wn]美 [wn],vt.& vi. （在…中）获胜，赢; 战胜（对手）; vt. （通过努力等）赢得; 说服; 达到（
significant,英 [sgnfknt]美 [sɡnfknt],adj. 重要的; 有意义的; 有重大意义的; 值得注意的; n. 有意义的事物; 象征，标志;
largest,英 ['la:dst]美 ['ladst],adj. 大的，多量的; 大的( large的最高级 ); 大规模的; 众多的; （服装、食物、日用
coordinate,英 [k':dnet]美 [ko'rdnet],vt. 使协调，使调和; 整合; 使（身体各部份）动作协调; （衣服、布料等）搭配; vi. 协调;
watch,英 [wt]美 [wɑt],vt. 注视，注意; 看守，监视; 守候（机会等）; 密切注意; n. 表; 值夜，值班; 看守，监
neural,英 [njrl]美 [nrl],adj. 神经的; 背的，背侧的;
food,英 [fu:d]美 [fud],n. 粮食; 食物，食品; 养料; 资料;
tom,英 [tm]美 [tɑm],n. 雄动物，雄猫;
prod,英 [prd]美 [prɑd],n. 刺针，刺棒; 刺激，激励; vt. 刺激; 捅; 促使…行动; （用手指或尖物）戳;
digit,英 [ddt]美 [ddt],n. 数字; 手指，足趾; 一指宽;
team,英 [ti:m]美 [tim],n. 团队; 队，组; 工作组; （野鸭等）群，同胎仔; vi. 协同工作; 合作; 把（牛马等）联
animal,英 [nml]美 [nml],n. 动物，兽，牲畜; <俚>家畜，牲口; <俚>畜生（一般的人）; 兽性; adj. 动物的; 肉
norm,英 [n:m]美 [nrm],n. 规范; 标准; 准则; （劳动）定额;
classification,英 [klsfken]美 [klsfken],n. 分类; 分级; 类别; （动植物等的）分类学;
additionally,英 ['dnl]美 ['dnl],adv. 此外;
prime,英 [pram]美 [pram],adj. 最好的; 首要的; 最初的; 基本的; n. 精华; 初期; 全盛时期; 青年; vt. 
equality,英 [ikwlti]美 [ikwɑlti],n. 同等，平等; [数]相等，等式;
experience,英 [ksprins]美 [ksprins],n. 经验，体验; 经历，阅历; vt. 感受; 亲身参与，亲身经历; 发现;
concrete,英 [kkri:t]美 [kɑkrit],adj. 具体的，有形的，实在的，实际的; 固结成的，混凝土制的; 图案诗歌的; n. 混凝土; 具
registered,英 ['redstd]美 [rdstd],adj. 注册的; 登记过的; 已挂号的; （动物）附有血统证明的; v. 注册; 登记; 记录; 
oracle,英 [rkl]美 [rkl],n. 神谕; 神示所; 圣贤; 哲人;
quickly,英 [kwkli]美 [kwkl],adv. 迅速地; 立即; 马上;
prevent,英 [prvent]美 [prvnt],vt. 预防; 阻止; 阻碍; [宗教]引领; vi. 阻挠，阻止;
scan,英 [skn]美 [skn],vt. <计>扫描; 细看; 细查; （雷达）对…进行扫描; n. 扫描; 浏览; 审视; （雷达）
nester,英 ['nest]美 ['nest],n. 试验筛组的单位筛;
deploy,英 [dpl]美 [dpl],vt.&vi. （尤指军事行动）使展开; 施展; 有效地利用;
computation,英 [kmpjuten]美 [kɑmpjuten],n. 计算，估计;
histogram,英 [hstgrm]美 [hstɡrm],n. 柱状图;
closing,英 [klz]美 [kloz],adj. 结尾的; 结束的; n. 终结; 结尾辞; v. close（关闭）的现在分词形式;
couple,英 [kpl]美 [kpl],n. 对，双; 配偶，夫妻; <口>几个，两三个; vt.&vi. 连在一起，连接; 成双，结婚; 
failure,英 [felj(r)]美 ['feljr],n. 失败，不及格; 缺乏，不足; 破产，倒闭; 失败的事，失败者;
achieve,英 [ti:v]美 [tiv],vt. 实现; 取得; 获得; 成功; vi. 达到预期的目的，实现预期的结果，如愿以偿;
protection,英 [prtekn]美 [prtkn],n. 保护; 护照; [经]保护贸易制，保护政策; （向歹徒缴纳的）保护费;
biology,英 [baldi]美 [baɑldi],n. 生物学; 生物;
sister,英 [sst(r)]美 [sst],n. 姐妹; 修女; （称志同道合者）姐妹; 护士; adj. 姐妹般的; 同类型的; v. 如姐妹
fixture,英 [fkst(r)]美 [fkst],n. （房屋等的）固定装置; [商]定期放款，定期存款; 固定在某位置的人或物; （定期定点举行的）
hence,英 [hens]美 [hns],adv. 从此; 因此，所以; 从此处; int. <诗>去;
construction,英 [knstrkn]美 [knstrkn],n. 建造; 建筑物; 解释; 建造物;
albeit,"英 [:lbi:t]美 [lbit, l-]",conj. 虽然; 即使;
plural,英 [plrl]美 [plrl],adj. 复数的; n. 复数; 复数形式; 复数词;
reuse,英 [ri:ju:z]美 [rijuz],vt. 再用，重新使用; n. 再用，重新使用;
wrote,英 [rt]美 [rot],v. 写信; 写( write的过去式 );
discrete,英 [dskri:t]美 [dskrit],adj. 分离的，不相关联的; 分立式; 非连续;
counting,英 ['kant]美 ['kant],n. 计算; v. （按顺序）数( count的现在分词); 有价值; 数出总数; 算得上;
failed,英 [feld]美 [feld],adj. 失败了的，不成功的; v. 在…中失败( fail的过去式和过去分词 ); 衰退; 衰弱;
technology,英 [teknldi]美 [teknɑldi],n. 科技（总称）; 工业技术; 工艺学; [总称]术语;
recommend,英 [rekmend]美 [rkmnd],vt. 推荐; 劝告; 使显得吸引人; 托付; vi. 推荐; 建议;
reporter,英 [rp:t(r)]美 [rprt(r)],n. 记者;
dependency,英 [dpendnsi]美 [dpendnsi],n. 属国，属地; 从属，从属物;
briefly,英 [bri:fli]美 [brifli],adv. 简单地; 短暂地; 简略地; 略略;
formed,英 ['f:md]美 ['fmd],adj. 成形的，成形加工的; v. 形成，构成，产生( form的过去式和过去分词 ); 是; （
flatten,英 [fltn]美 [fltn],vt.& vi. 变平，使（某物）变平; 打倒，击倒; 使失去光泽;
male,英 [mel]美 [mel],adj. 男性的; 雄性的; 有力的; [植]雄性的，仅有雄蕊的; n. 男; 雄性动物; [植]雄
latex,英 [leteks]美 [letks],n. 胶乳，（尤指橡胶树的）橡浆; 人工合成胶乳（用以制作油漆、粘合剂和织物）;
resolution,英 [rezlu:n]美 [rzlun],n. 分辨率; 解决; 决心; 坚决;
crawl,英 [kr:l]美 [krl],vi. 爬行; 缓慢行进; 巴结; n. 缓慢的爬行; 〈美俚〉跳舞，自由式游泳; 养鱼（龟）池;
mostly,英 [mstli]美 [mostli],adv. 大部分，多半; 主要地; 基本上; 通常;
parallel,英 [prlel]美 [prll],adj. 平行的; 相同的，类似的; [电]并联的; [计]并行的; adv. 平行地，并列地; n
plotting,英 ['plt]美 ['plt],n. 测绘，标图; v. 绘制; 密谋( plot的现在分词 ); 把…分成小块; 为（文学作品）设
proc,英 [p'rk]美 [p'rk],abbr. process 过程; procedure 程序; proceedings 会刊; pr
ruby,英 [ru:bi]美 [rubi],n. 红宝石，红玉; 红宝石色，深红色; <英>细铅字; 红葡萄酒; adj. 红宝石的; 红宝石色
blocking,英 ['blk]美 ['blk],n. 舞台场面设计; 舞台调度; 舞台场面调度设计; 模块化; v. 阻碍; 堵塞( block的现
matched,英 [mtt]美 [mtt],adj. 相配的; 敌得过的; v. 敌得过，和…相配(match的过去式和过去分词);
white,"英 [wat]美 [hwat, wat]",adj. 白色的，纯洁的; 无色的，透明的; 白衣的; 白种人的; n. 白色; 白种人; 空白; 
research,英 [rs:t]美 [rsrt],n. 调查; 探索; 研究，追究; 探讨，探测; vi. 做研究; 探究; （从市场调研中）得出所预
odd,英 [d]美 [ɑd],adj. 古怪的; 奇数的; 剩余的; 临时的; n. 奇特的事物; 怪人; [高尔夫球]多于对方的
radio,英 [redi]美 [redio],n. 无线电; 收音机; 无线电广播台; 无线电收发报机; vt.& vi. 用无线电发送讯息; 作
intercept,英 [ntsept]美 [ntrsept],vt. 截击; 拦截，拦住; 截球; 拦阻; n. （数学）截距; 截击，拦截; 截听; 拦截者;
quit,英 [kwt]美 [kwt],vt. 离开; 放弃，抛弃; 停止，中断; 偿清; vi. 辞职; 停止; 放弃斗争; adj. 自
font,英 [fnt]美 [fɑnt],n. 字体; 字形; 圣洗池（设于教堂中，常为石造）; （同样字体和字号的）一副铅字;
enterprise,英 [entpraz]美 [entrpraz],n. 企（事）业单位; 事业，计划; 事业心，进取心;
predicate,英 [predkt]美 ['predkt],vt. 断言，断定; 宣布，宣讲; 使基于; vi. 断言，断定; n. 谓语; 述语; adj. 
statistical,英 [st'tstkl]美 [sttstkl],adj. 统计的; 统计学的;
sax,英 [sks]美 [sks],n. <美口>萨克斯管，石板斧;
stable,英 [stebl]美 [stebl],adj. 稳定的; 沉稳[持重]的; [物理学]稳定平衡的; 持久的; n. 厩，马厩，马棚，牛棚;
pivot,英 [pvt]美 [pvt],n. 枢轴; 中心点，中枢; [物]支点，支枢; [体]回转运动; vi. 在枢轴上转动; 随…转移
bisect,英 [basekt]美 [ba'sekt],vt. 把…一分为二，把…二等分; 与…相交叉;
situation,英 [stuen]美 [stuen],n. （人的）情况; 局面，形势，处境; 位置; [心理学]情境
oh,英 []美 [o],int. 啊; （表示恐惧、惊讶、疑虑等）噢; 哎呀; 冠于人名前，起呼语作用;
compiler,英 [kmpal(r)]美 [kmpal],n. 汇编者; 编辑者; 编纂者; （电脑的）编译程序;
rec,英 [rek]美 [rk],abbr. receive 收到; receipt 收据; recording 记录; record
friendly,英 [frendli]美 [frndli],adj. 友好的，亲密的; 有帮助的; 互助的; n. 友谊赛;
contact,英 [kntkt]美 [kɑntkt],n. 接触; 触点; [医]（传染病）接触人; 门路; vt. 使接触; 与…联系; 与…通讯（或通
bootstrap,英 [bu:tstrp]美 ['butstrp],n. 引导程序; 解靴带; 靴袢; 自益;
rev,英 [rev]美 [rv],n. <口>发动机的旋转; vt.& vi. <口>（使）加速; （数量、活动等）激增; （使发动机
celery,英 [selri]美 [slri],n. 芹菜; 香芹粉; 芹菜籽;
fairly,英 [feli]美 [ferli],adv. 公平地; 适当，相当地; 完全，简直; 清楚地;
nature,英 [net(r)]美 [net],n. 自然; 天性; 天理; 类型;
icon,英 [akn]美 [akɑn],n. 偶像，崇拜对象; 图标，图符; [宗]圣像; 肖像;
six,英 [sks]美 [sks],n. 六; 六个; 六岁; 六点; num. 六; 六个;
away,英 [we]美 [we],adv. 消失; 离开，远离; 在远处; adj. 不在的; 遥远的; 客场比赛;
asynchronous,英 [eskrns]美 [e'skrns],adj. 异步的;
payload,英 [peld]美 [pelod],n. 有效载荷; （航天器、卫星的）装备; （车辆等的）装载货物; （炸弹、导弹的）爆炸力;
multiply,英 [mltpla]美 [mltpla],vt.& vi. 乘; （使）相乘; （使）增加; （使）繁殖; adv. 多样地; 复合地; 多倍
chosen,英 [tzn]美 [tozn],adj. 挑选出来的，精选的; <宗>上帝所选的; v. 选择; 选定; 挑选( choose的过去
tup,英 [tp]美 [tp],n. 锤头; 公羊; 动力锤的头部; 冲面;
tester,英 [test(r)]美 [tst],n. 测试员; 检测器; 华盖;
membership,英 [membp]美 [membrp],n. 会员资格; 会员身份; 会员全体;
quant,英 [kwnt]美 [kwnt],n. （诺福克郡等处驳船上用的一头带有凸起以防陷入泥中的）篙; vt. 用篙撑（船）;
derive,英 [drav]美 [drav],vt.& vi. 得到，导出; 源于，来自; （从…中）提取;
runner,英 [rn(r)]美 [rn],n. [体育运动]赛跑者; [棒球]跑垒者，[橄榄球]带球者; 逃亡者; 送信人，跑腿者;
ravel,英 [rvl]美 [rvl],vt.& vi. 使纠缠，变得错综复杂; vt. 磨损;
coefficient,英 [kfnt]美 [kofnt],n. 系数; （测定某种质量或变化过程的）率; 程度; 协同因素; adj. 共同作用的; 合作的;
misc,英 ['msk]美 ['msk],adj. 各色各样混在一起，混杂的，多才多艺的;
playhouse,英 [plehɑs]美 [plehas],n. 剧场，戏院; 儿童游戏馆;
yate,英 [jet]美 [jet],n. 各种桉树，桉树的木材;
device,英 [dvas]美 [dvas],n. 装置，设备; 方法; 策略; 手段;
understanding,英 [ndstnd]美 [ndrstnd],vt. 谅解; 理解，懂得; 熟知，通晓; 获知，理解; vi. 理解，懂得; 表示同情或谅解; 据
switch,英 [swt]美 [swt],n. 开关; 转换，转换器; 软鞭子; [信]接线台; vt.& vi. 转换; 转变，改变; 关闭
past,英 [pɑ:st]美 [pst],adj. 过去的，以前的; 结束的; 前任的; n. 往事; 过去，过往; [语]过去时; prep
york,英 [j:k]美 [jrk],vt. （板球）使击球员出局;
multidimensional,英 [mltda'mennl]美 [mltda'mennl],adj. 多面的，多维的;
continuous,英 [kntnjus]美 [kntnjus],adj. 连续的; 延伸的; 绵; 联绵;
joe,英 [du]美 [do],n. 乔;
brief,英 [bri:f]美 [brif],adj. 短暂的; （衣着）短的; 简洁的; 简明的; vt. 向…介绍基本情况; （尤指事前）向…
determined,英 [dt:mnd]美 [dtrmnd],adj. 确定的; 坚定的; 毅然的; v. 确定; 决定; （使）下决心，（使）做出决定( det
customer,英 [kstm(r)]美 [kstm],n. 顾客，客户; 主顾; <口>家伙;
recreation,英 [rekrien]美 [rkrien],n. 消遣（方式）; 娱乐（方式）; 重建，重现;
uppercase,英 ['pkes]美 ['pkes],n. 大写字母盘; vt. 以大写字母印刷; adj. 大写字母的;
jpeg,英 [depeg]美 [depɡ],abbr. 联合图象专家组; 一种压缩标准;
widely,英 [wadli]美 [ wadl],adv. 广泛地; 普遍地; 到处; 大量地;
atomic,英 [tmk]美 [tɑmk],adj. 原子的; 原子能的，原子武器的; 极微的;
solely,英 [slli]美 [solli],adv. 仅仅; 纯粹; 唯一地; 独一无二地;
accuracy,英 [kjrsi]美 [kjrsi],n. 精确（性），准确（性）;
besides,英 [bsadz]美 [bsadz],adv. 此外; 而且; 以及; 更; prep. （表示排斥）除…之外（还有）; 在…之外（还有）
brain,英 [bren]美 [bren],n. 脑; 智慧; 聪明的人; （群体中）最聪明的人; vt. 打破…的脑袋; 打…的头部;
describe,英 [dskrab]美 [dskrab],vt. 叙述; 描写，形容; 描绘，作图; （行星等）周转;
pizza,英 [pi:ts]美 [pits],n. 意大利薄饼，比萨饼;
